id,Sector,Company,Worth(BUSD)
5043,Food and Beverage,frozen foods,2.1
1062,Energy,"oil, gas",2.1
1199,Finance and Investments,investments,2.1
1795,Food and Beverage,soy sauce,2.1
2304,Metals & Mining,"mining, metals",2.1
7226,Fashion & Retail,hair care products,2.1
2327,Media & Entertainment,television,2.1
7565,Real Estate,hotels,2.1
8162,Energy,Getty Oil,2.1
6933,Fashion & Retail,retail stores,2.1
1843,Real Estate,hotels,2.1
8958,Finance and Investments,private equity,2.1
6548,Real Estate,real estate,2.1
4966,Fashion & Retail,drugstores,2.1
9175,Finance and Investments,Investment,2.1
1548,Finance and Investments,accounting services,2.1
3374,Manufacturing,palm oil,2.1
3271,Real Estate,real estate,2.1
3016,Food and Beverage,food processing,2.1
1614,Food and Beverage,soft drinks,2.1
5097,Construction & Engineering,construction,2.1
1056,Real Estate,real estate,2.1
5983,Real Estate,hotels,2.1
3439,Real Estate,"real estate, investments, logistics",2.1
4364,Diversified,diversified,2.0
7022,Real Estate,real estate,2.0
5035,Automotive,tires,2.0
4120,Finance and Investments,investments,2.0
8990,Finance and Investments,motorcycle loans,2.0
5102,Construction & Engineering,construction,2.0
5155,Finance and Investments,private equity,2.0
6316,Food and Beverage,Cargill,2.0
8262,Food and Beverage,"agriculture, land",2.0
4671,Fashion & Retail,shoes,2.0
4376,Automotive,tractors,2.0
4922,Real Estate,real estate,2.0
3598,Finance and Investments,private equity,2.0
1193,Healthcare,pharmaceuticals,2.0
7324,Finance and Investments,finance,2.0
9967,Telecom,telecom equipment,2.0
7629,Telecom,"telecom, investments",2.0
9212,Manufacturing,"steel, autoparts",2.0
7238,Manufacturing,hydraulic machinery,2.0
8173,Energy,natural gas distribution,2.0
2598,Media & Entertainment,Bloomberg LP,2.0
